rating,score_tag,agreement,subjectivity,confidence,irony,anger,joy,fear,sadness,surprise
1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.477632194757462,0.093880340456963,0.066489733755589,0.29494833946228,0.067049369215965
1,P,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.812649130821228,0.025535587221384,0.025571379810572,0.133989661931992,0.002254249993712
1,NEU,DISAGREEMENT,SUBJECTIVE,84,IRONIC,0.575305044651032,0.069665744900704,0.041906334459782,0.230335205793381,0.082787699997425
1,N,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.343763142824173,0.112392298877239,0.038877867162228,0.480155348777771,0.024811333045364
1,NEU,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.732081413269043,0.049582712352276,0.016792820766568,0.186796113848686,0.014746913686395
1,N,DISAGREEMENT,SUBJECTIVE,91,NONIRONIC,0.587192475795746,0.035595633089542,0.130886092782021,0.244266748428345,0.002059048274532
1,N,DISAGREEMENT,SUBJECTIVE,92,NONIRONIC,0.603515267372131,0.030810518190265,0.048302009701729,0.271981179714203,0.045391038060188
1,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.66827005147934,0.029256019741297,0.044689696282148,0.239323228597641,0.018460996448994
1,N,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.141979277133942,0.063071250915527,0.061185739934445,0.392518818378448,0.341244876384735
1,N,DISAGREEMENT,SUBJECTIVE,86,NONIRONIC,0.635739684104919,0.052514664828777,0.07304572314024,0.234060510993004,0.004639479331672
1,P,DISAGREEMENT,SUBJECTIVE,74,IRONIC,0.638400971889496,0.034075655043125,0.03340993821621,0.233288750052452,0.06082471087575
1,N,DISAGREEMENT,SUBJECTIVE,94,NONIRONIC,0.608775734901428,0.056656286120415,0.059936746954918,0.195185616612434,0.079445615410805
1,P,DISAGREEMENT,SUBJECTIVE,76,IRONIC,0.226074069738388,0.130077242851257,0.090408265590668,0.425454884767532,0.127985537052155
1,P+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.89441043138504,0.001138508319855,0.006722257472575,0.092817530035973,0.004911213647574
1,N+,AGREEMENT,SUBJECTIVE,92,NONIRONIC,0.274881035089493,0.088577449321747,0.083994790911675,0.546636819839478,0.005909878760576
1,N,DISAGREEMENT,SUBJECTIVE,83,NONIRONIC,0.595848143100739,0.051416844129562,0.048275358974934,0.273063480854034,0.03139615803957
1,P,AGREEMENT,SUBJECTIVE,100,NONIRONIC,0.443145334720612,0.07771110534668,0.016127318143845,0.141815558075905,0.321200639009476
